Eout,Corresponding Lambda
522293847.8399947,0
11.967254646074599,1
9.482573377479827,2
8.209371844599719,3
7.437989131167432,4
6.923806445723248,5
6.559290919523503,6
6.289599247878912,7
6.083785645006289,8
5.923056747353441,9
5.7953418076374,10
5.692537680349917,11
5.609006391447521,12
5.54070714508423,13
5.484670603720952,14
5.438667665618742,15
5.400993684811519,16
5.370323798454957,17
5.345613475205001,18
5.326028634118431,19
5.310895579487218,20
5.29966450639814,21
5.291882482115799,22
5.287173160401418,23
5.285221355859329,24
5.285761177005407,25
5.288566799487392,26
5.293445221605365,27
5.300230524711201,28
5.308779287742125,29
5.318966895289763,30
5.330684543537614,31
5.343836795720922,32
5.358339573611149,33
5.37411849745146,34
5.391107506230821,35
5.409247704927369,36
5.428486396604535,37
5.448776265907837,38
5.47007468722192,39
5.492343135987428,40
5.5155466857933195,41
5.53965357711379,42
5.5646348461436315,43
5.590464004255316,44
5.617116760261406,45
5.644570779008957,46
5.672805470920204,47
5.701801807984235,48
5.731542162429992,49
5.762010164909466,50
5.7931905795141985,51
5.825069193356874,52
5.857632718791523,53
5.890868706627814,54
5.924765468936841,55
5.9593120102413994,56
5.994497966057407,57
6.030313547891524,58
6.066749493924395,59
6.103797024709818,60
6.141447803309648,61
6.179693899358194,62
6.218527756614582,63
6.257942163617886,64
6.297930227105738,65
6.338485347900499,66
6.379601199001141,67
6.421271705650314,68
6.4634910271737,69
6.5062535404111745,70
6.549553824580732,71
6.593386647432967,72
6.637746952570529,73
6.682629847820623,74
6.728030594559419,75
6.773944597900515,76
6.820367397665722,77
6.867294660068107,78
6.914722170041527,79
6.9626458241597415,80
7.0110616240926475,81
7.059965670553242,82
7.109354157691987,83
7.1592233679019515,84
7.209569666998524,85
7.260389499743626,86
7.311679385685568,87
7.363435915288834,88
7.415655746330477,89
7.468335600542106,90
7.521472260477499,91
7.5750625665889455,92
7.629103414495643,93
7.683591752429798,94
7.738524578846774,95
7.793898940187411,96
7.849711928780449,97
7.9059606808755944,98
7.962642374797612,99
8.019754229211909,100
8.077293501494996,101
8.135257486201292,102
8.193643513620124,103
8.252448948416621,104
8.311671188350566,105
8.371307663068068,106
8.431355832961055,107
8.491813188090411,108
8.552677247167747,109
8.613945556593057,110
8.675615689543623,111
8.737685245111695,112
8.800151847487262,113
8.863013145183174,114
8.926266810300401,115
8.989910537830404,116
9.05394204499244,117
9.11835907060416,118
9.18315937448252,119
9.248340736874386,120
9.313900957914168,121
9.379837857106969,122
9.446149272836406,123
9.512833061895076,124
9.579887099036286,125
9.647309276546473,126
9.715097503836539,127
9.78324970705122,128
9.851763828695685,129
9.920637827278176,130
9.989869676967853,131
10.059457367267074,132
10.129398902697483,133
10.199692302498766,134
10.270335600339752,135
10.341326844041145,136
10.412664095309294,137
10.48434542948019,138
10.556368935273397,139
10.628732714555792,140
10.70143488211339,141
10.774473565432439,142
10.8478469044882,143
10.921553051541277,144
10.995590170941474,145
11.069956438938476,146
11.144650043499077,147
11.219669184130737,148
11.295012071711097,149
