Eout,Corresponding Lambda
540009.8555515804,0
5.815636119945601,1
5.237693285414552,2
4.987078064848568,3
4.842529112500788,4
4.747652995800026,5
4.680680440649073,6
4.631202433221344,7
4.593533089107782,8
4.564269376174817,9
4.541234214225849,10
4.522962411422926,11
4.50842787492782,12
4.496888664144413,13
4.4877940344905385,14
4.4807261109248415,15
4.475361892817346,16
4.471447705253999,17
4.468781546322251,18
4.467200599892171,19
4.466572219197877,20
4.466787297862081,21
4.467755317556363,22
4.469400595022773,23
4.471659401315828,24
4.4744777248356495,25
4.477809515968387,26
4.481615296423432,27
4.485861047823458,28
4.490517316310916,29
4.495558485823762,30
4.500962184214799,31
4.506708794834969,32
4.512781052468954,33
4.519163707203376,34
4.525843243358386,35
4.532807643320295,36
4.540046188196505,37
4.547549288827627,38
4.555308341952809,39
4.563315607314328,40
4.5715641022719895,41
4.580047511120761,42
4.588760106804768,43
4.597696683122909,44
4.606852495845525,45
4.616223211425631,46
4.625804862205725,47
4.6355938071945335,48
4.645586697637713,49
4.655780446724189,50
4.6661722028704276,51
4.676759326109516,52
4.687539367179717,53
4.698510048966382,54
4.709669250001486,55
4.7210149897633675,56
4.732545415558635,57
4.7442587907941896,58
4.756153484474845,59
4.768227961783582,60
4.780480775618928,61
4.792910558981236,62
4.8055160181123115,63
4.8182959263053045,64
4.831249118311454,65
4.844374485279553,66
4.857670970171493,67
4.871137563603585,68
4.884773300069963,69
4.898577254508783,70
4.912548539175901,71
4.926686300796433,72
4.940989717965719,73
4.95545799877578,74
4.970090378645206,75
4.984886118333677,76
4.999844502122587,77
5.014964836147495,78
5.030246446867107,79
5.045688679657523,80
5.061290897519245,81
5.0770524798878,82
5.092972821538223,83
5.109051331575189,84
5.125287432501768,85
5.141680559359388,86
5.158230158933517,87
5.17493568901908,88
5.191796617741001,89
5.208812422924874,90
5.225982591513906,91
5.243306619028482,92
5.260784009064524,93
5.2784142728278125,94
5.296196928701452,95
5.314131501843712,96
5.332217523813921,97
5.350454532224288,98
5.368842070415721,99
5.38737968715556,100
5.406066936355949,101
5.424903376810889,102
5.443888571951081,103
5.463022089614567,104
5.482303501832925,105
5.501732384630641,106
5.5213083178383435,107
5.54103088491727,108
5.560899672795204,109
5.580914271712745,110
5.601074275079294,111
5.621379279337778,112
5.641828883838032,113
5.662422690717672,114
5.6831603047903805,115
5.704041333440981,116
5.725065386526653,117
5.746232076284178,118
5.767541017242634,119
5.7889918261413404,120
5.810584121852177,121
5.832317525307039,122
5.854191659428926,123
5.876206149067311,124
5.8983606209369634,125
5.920654703560298,126
5.9430880272131485,127
5.965660223873049,128
5.988370927171037,129
6.01121977234546,130
6.034206396198784,131
6.0573304370564385,132
6.080591534727982,133
6.103989330470416,134
6.127523466953175,135
6.151193588225275,136
6.174999339683895,137
6.198940368044913,138
6.2230163213144545,139
6.247226848762447,140
6.271571600897083,141
6.296050229440767,142
6.3206623873073315,143
6.345407728580065,144
6.37028590849117,145
6.395296583401929,146
6.420439410784148,147
6.445714049202048,148
6.471120158295558,149
